"atm_del_14C_20,000BP_to_2100_AD_RCP85_RCP45",,
Cal_BP,D14C_RCP85_per_mil,D14C_RCP45_per_mil
9150,84.6,84.6
9145,84.9,84.9
9140,85.3,85.3
9135,85.6,85.6
9130,86.8,86.8
9125,89,89
9120,89.6,89.6
9115,89.1,89.1
9110,88.5,88.5
9105,87.6,87.6
9100,86.3,86.3
9095,85.4,85.4
9090,86.2,86.2
9085,87,87
9080,86.9,86.9
9075,86.5,86.5
9070,86.4,86.4
9065,85.7,85.7
9060,84.5,84.5
9055,83.8,83.8
9050,82.3,82.3
9045,80.3,80.3
9040,79.5,79.5
9035,79.4,79.4
9030,81.7,81.7
9025,83.3,83.3
9020,84.6,84.6
9015,85.1,85.1
9010,86.9,86.9
9005,89.6,89.6
9000,89.6,89.6
8995,92.4,92.4
8990,94.2,94.2
8985,94.9,94.9
8980,95.3,95.3
8975,97,97
8970,97.5,97.5
8965,97.3,97.3
8960,95.8,95.8
8955,95.3,95.3
8950,95.3,95.3
8945,95,95
8940,94,94
8935,93.2,93.2
8930,93.3,93.3
8925,92.8,92.8
8920,91.3,91.3
8915,89.3,89.3
8910,88,88
8905,86.9,86.9
8900,86.5,86.5
8895,87.2,87.2
8890,87.2,87.2
8885,86,86
8880,83.5,83.5
8875,81.7,81.7
8870,82,82
8865,82.7,82.7
8860,83.7,83.7
8855,83.8,83.8
8850,83.5,83.5
8845,83.3,83.3
8840,82.6,82.6
8835,81,81
8830,78.6,78.6
8825,75.8,75.8
8820,73.8,73.8
8815,73.9,73.9
8810,74.1,74.1
8805,73.8,73.8
8800,72.9,72.9
8795,72.7,72.7
8790,72.9,72.9
8785,72.8,72.8
8780,72.6,72.6
8775,73.8,73.8
8770,74.9,74.9
8765,74.8,74.8
8760,74.7,74.7
8755,74,74
8750,73.8,73.8
8745,73.3,73.3
8740,72.5,72.5
8735,71.4,71.4
8730,70.4,70.4
8725,70.5,70.5
8720,70.9,70.9
8715,71.1,71.1
8710,70.3,70.3
8705,69.5,69.5
8700,69.6,69.6
8695,70,70
8690,69.5,69.5
8685,68.7,68.7
8680,68.4,68.4
8675,67.5,67.5
8670,65.8,65.8
8665,64.2,64.2
8660,64,64
8655,64,64
8650,63.8,63.8
8645,64.4,64.4
8640,65.5,65.5
8635,66.6,66.6
8630,67.3,67.3
8625,67.7,67.7
8620,66.8,66.8
8615,65.8,65.8
8610,65.1,65.1
8605,65.5,65.5
8600,66.5,66.5
8595,68.2,68.2
8590,70.6,70.6
8585,71.9,71.9
8580,71.9,71.9
8575,71.5,71.5
8570,70.6,70.6
8565,69.5,69.5
8560,69.1,69.1
8555,69,69
8550,69.5,69.5
8545,70.4,70.4
8540,73.2,73.2
8535,74.4,74.4
8530,73.1,73.1
8525,71.3,71.3
8520,71.7,71.7
8515,72.3,72.3
8510,72.3,72.3
8505,72.3,72.3
8500,71.5,71.5
8495,69.8,69.8
8490,67.9,67.9
8485,66.8,66.8
8480,67.5,67.5
8475,67.9,67.9
8470,67.4,67.4
8465,65.8,65.8
8460,65.5,65.5
8455,65.7,65.7
8450,67,67
8445,67.6,67.6
8440,67.1,67.1
8435,66.3,66.3
8430,65.9,65.9
8425,67.4,67.4
8420,68.2,68.2
8415,69.4,69.4
8410,70.9,70.9
8405,72,72
8400,73.1,73.1
8395,72.8,72.8
8390,73.7,73.7
8385,75,75
8380,76.1,76.1
8375,77.6,77.6
8370,78.4,78.4
8365,78.2,78.2
8360,79.1,79.1
8355,78.6,78.6
8350,78.1,78.1
8345,78.9,78.9
8340,80.1,80.1
8335,80.2,80.2
8330,79.9,79.9
8325,80.9,80.9
8320,81.3,81.3
8315,81.6,81.6
8310,81.5,81.5
8305,81.2,81.2
8300,81.5,81.5
8295,81.4,81.4
8290,81.4,81.4
8285,81.3,81.3
8280,81,81
8275,81.3,81.3
8270,80.7,80.7
8265,79,79
8260,76.4,76.4
8255,74.8,74.8
8250,74.6,74.6
8245,74.1,74.1
8240,72.6,72.6
8235,71.6,71.6
8230,70.7,70.7
8225,69.9,69.9
8220,69.8,69.8
8215,69.8,69.8
8210,70.2,70.2
8205,70.6,70.6
8200,71.3,71.3
8195,72,72
8190,72.5,72.5
8185,73.5,73.5
8180,75.3,75.3
8175,77.3,77.3
8170,78.8,78.8
8165,80,80
8160,81.4,81.4
8155,82.3,82.3
8150,83,83
8145,82.6,82.6
8140,80.8,80.8
8135,79.4,79.4
8130,80,80
8125,79.6,79.6
8120,78.2,78.2
8115,76.4,76.4
8110,76.3,76.3
8105,76.6,76.6
